央视频道,#genre#
CCTV1(1080p),http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls
CCTV1(1080p),http://39.135.15.93:6610/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls
CCTV2(1080p),http://39.135.15.93:6610/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CCTV3(1080p),http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls
CCTV3(1080p),http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls
CCTV4(1080p),http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls
CCTV4(1080p),http://39.135.16.142:6060/PLTV/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls
CCTV5(1080p),http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226024/1/index.m3u8?fmt=ts2hls
CCTV5(1080p),http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226248/1/index.m3u8?fmt=ts2hls
CCTV5+(1080p),http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226171/1/index.m3u8?fmt=ts2hls
CCTV5+(1080p),http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000020505&livemode=1&stbId=3
CCTV5+(1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV6(1080p),http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226011/1/index.m3u8?fmt=ts2hls
CCTV6(1080p),http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226046/1/index.m3u8?fmt=ts2hls
CCTV7(1080p),http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=3
CCTV7(1080p),http://39.135.15.93:6610/PLTV/88888888/224/3221225745/1/index.m3u8?fmt=ts2hls
CCTV7(1080p),http://58.19.13.92:9901/tsfile/live/1006_1.m3u8
CCTV8(1080p),http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226060/1/index.m3u8?fmt=ts2hls
CCTV8(1080p),http://39.135.15.93:6610/PLTV/88888888/224/3221226005/1/index.m3u8?fmt=ts2hls
CCTV9(1080p),http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226031/1/index.m3u8?fmt=ts2hls
CCTV9(1080p),http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226031/1/index.m3u8?fmt=ts2hls
CCTV10(1080p),http://39.135.16.142:6060/PLTV/88888888/224/3221225685/1/index.m3u8?fmt=ts2hls
CCTV10(1080p),http://39.135.15.93:6610/PLTV/88888888/224/3221225685/1/index.m3u8?fmt=ts2hls
CCTV11(1080p),http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225746/1/index.m3u8?fmt=ts2hls
CCTV12(1080p),http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225747/1/index.m3u8?fmt=ts2hls
CCTV12(1080p),http://39.135.16.142:6060/PLTV/88888888/224/3221225747/1/index.m3u8?fmt=ts2hls
CCTV13(1080p),https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13(1080p),http://39.135.15.93:6610/PLTV/88888888/224/3221225748/1/index.m3u8?fmt=ts2hls
CCTV14(1080p),http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225727/1/index.m3u8?fmt=ts2hls
